time_sec,odom_to_base_x,odom_to_base_y,odom_to_base_yaw_deg,map_to_odom_x,map_to_odom_y,map_to_odom_yaw_deg,ips_x,ips_y,ips_z,distance_to_start_m,total_distance_m,near_start,left_start_zone,lap_candidate
1783970835.614367,5.448604,4.863196,132.698980,0.000000,0.000000,-0.000000,-19.825620,11.805360,0.058912,7.303284,20.815227,0,1,0
1783970835.664559,5.448604,4.863196,132.698980,0.000000,0.000000,-0.000000,-19.825620,11.805360,0.058912,7.303284,20.815227,0,1,0
1783970835.714374,5.322771,5.017308,126.239596,0.000000,0.000000,-0.000000,-20.021080,11.842510,0.058910,7.314730,21.014186,0,1,0
1783970835.764829,5.322771,5.017308,126.239596,0.000000,0.000000,-0.000000,-20.021080,11.842510,0.058910,7.314730,21.014186,0,1,0
1783970835.814453,5.196880,5.217255,118.626208,0.000000,0.000000,-0.000000,-20.246050,11.914730,0.058908,7.363920,21.250464,0,1,0
1783970835.864685,5.196880,5.217255,118.626208,0.000000,-0.000000,0.000000,-20.246050,11.914730,0.058908,7.363920,21.250464,0,1,0
1783970835.914379,5.106629,5.410854,111.844047,0.000000,-0.000000,0.000000,-20.439640,12.005000,0.058906,7.440094,21.464066,0,1,0
1783970835.965125,5.106629,5.410854,111.844047,0.000000,-0.000000,0.000000,-20.439640,12.005000,0.058906,7.440094,21.464066,0,1,0
1783970836.014386,5.042193,5.603805,105.560273,0.000000,-0.000000,0.000000,-20.613040,12.111370,0.058904,7.538325,21.667492,0,1,0
1783970836.064465,5.042193,5.603805,105.560273,-0.000000,-0.000000,0.000000,-20.613040,12.111370,0.058904,7.538325,21.667492,0,1,0
1783970836.114367,4.998386,5.806806,99.254915,-0.000000,-0.000000,0.000000,-20.777100,12.238700,0.058902,7.661780,21.875166,0,1,0
1783970836.164537,4.998386,5.806806,99.254915,-0.000000,-0.000000,0.000000,-20.777100,12.238700,0.058902,7.661780,21.875166,0,1,0
1783970836.214363,4.976952,6.011436,93.169174,-0.000000,-0.000000,0.000000,-20.925070,12.381660,0.058899,7.804320,22.080915,0,1,0
1783970836.264384,4.976952,6.011436,93.169174,0.000000,0.000000,0.000000,-20.925070,12.381660,0.058899,7.804320,22.080915,0,1,0
