cell_x,cell_y,world_x_m,world_y_m,hits,boundary_label
241,576,7.089250,14.238369,100,outer
288,279,9.439250,-0.611632,100,outer
504,132,20.239250,-7.961632,100,outer
71,430,-1.410750,6.938369,100,outer
246,282,7.339250,-0.461632,100,outer
4,340,-4.760751,2.438369,100,outer
151,273,2.589250,-0.911632,100,outer
325,575,11.289250,14.188369,100,outer
356,562,12.839250,13.538369,100,outer
377,356,13.889250,3.238369,100,outer
330,281,11.539250,-0.511632,100,outer
1,334,-4.910751,2.138369,100,outer
48,266,-2.560750,-1.261632,100,outer
409,16,15.489250,-13.761632,100,outer
309,78,10.489250,-10.661632,100,outer
5,304,-4.710751,0.638368,100,outer
185,271,4.289250,-1.011632,100,outer
177,267,3.889250,-1.211632,100,outer
138,196,1.939250,-4.761632,100,outer
312,83,10.639250,-10.411632,100,outer
222,418,6.139250,6.338369,100,outer
230,279,6.539250,-0.611632,100,outer
150,170,2.539250,-6.061632,100,outer
374,552,13.739250,13.038369,100,outer
279,580,8.989250,14.438369,100,outer
374,323,13.739250,1.588369,100,outer
287,404,9.389250,5.638369,100,outer
186,272,4.339250,-0.961632,100,outer
173,153,3.689250,-6.911632,100,outer
178,268,3.939250,-1.161632,100,outer
244,442,7.239250,7.538369,100,outer
373,327,13.689250,1.788369,100,outer
223,419,6.189250,6.388369,100,outer
284,286,9.239250,-0.261632,100,outer
384,373,14.239250,4.088369,100,outer
507,178,20.389250,-5.661632,100,outer
376,369,13.839250,3.888369,100,outer
222,274,6.139250,-0.861632,100,outer
