stamp_sec,ego_x,ego_y,ego_yaw_deg,target_truth_x,target_truth_y,foreground_beam_count,cluster_count,target_detected,detected_local_x,detected_local_y,detected_world_x,detected_world_y,confidence
1783534369.639440,-20.614300,12.391900,147.985874,-21.420800,13.343500,166,0,1,5.701460,-0.509547,-25.178541,15.846459,0.349783
1783534369.743044,-20.720800,12.464300,144.066234,-21.462500,13.470300,179,0,1,5.701460,-0.509547,-25.038221,16.222778,0.349783
1783534369.810048,-20.823800,12.545100,140.150961,-21.495600,13.595400,202,0,1,5.701460,-0.509547,-24.874511,16.589605,0.349783
1783534369.875273,-20.930100,12.641500,135.900265,-21.522400,13.724200,166,0,1,5.701460,-0.509547,-24.669887,16.975121,0.349783
1783534369.943210,-21.024800,12.740700,131.849073,-21.543800,13.866800,183,1,1,5.701460,-0.509547,-24.449082,17.327700,0.349783
1783534369.967605,-21.113600,12.848100,127.829579,-21.556700,14.004100,183,0,1,5.701460,-0.509547,-24.207930,17.663845,0.349783
1783534370.071991,-21.193700,12.959700,123.965648,-21.562200,14.144200,173,1,1,5.701460,-0.509547,-23.956476,17.973017,0.349783
1783534370.097966,-21.264100,13.072800,120.228272,-21.560600,14.282300,173,0,1,5.701460,-0.509547,-23.694216,18.255542,0.349783
1783534370.201616,-21.325300,13.186600,116.733014,-21.552400,14.415900,183,0,1,5.701460,-0.509547,-23.434925,18.507855,0.349783
1783534370.227541,-21.381900,13.309600,113.093463,-21.538500,14.545000,172,0,1,5.701460,-0.509547,-23.149480,18.754041,0.349783
1783534370.333150,-21.432200,13.440000,109.476128,-21.517900,14.679600,169,0,1,5.701460,-0.509547,-22.852755,18.985115,0.349783
1783534370.363663,-21.472100,13.565300,106.244370,-21.490400,14.817300,166,0,1,5.701460,-0.509547,-22.577791,19.181680,0.349783
1783534370.458951,-21.505400,13.694600,102.981057,-21.459300,14.945700,173,0,1,5.701460,-0.509547,-22.289587,19.364814,0.349783
1783534370.483366,-21.531600,13.827800,99.672942,-21.380300,15.204400,175,0,1,5.701460,-0.509547,-21.987278,19.533818,0.349783
